Documento;Enunciado
2005 - nenios.html;The Child Care Management software is intended to provide a computer based system that will assist in managing a child care center. Many of the typical functions involved in operating a center will be automated through software to improve the operational workflow within a facility. For instance, activities like tracking child immunizations and maintaining classroom waiting lists will be performed by the computer system so that employees can spend more time caring for the children. In addition, tasks like processing invoices and printing customer reports will be available within the program to minimize the time that administrative staff must spend creating these documents. Before gaining access to the NCCM system an employee will be required to enter their user name and password. The NCCM system will store information in a database for future reference, teachers will have the ability to add or edit comments.Administrators can access a reporting feature that generates preformatted documents summarizing key customer information. In addition to printing these reports administrators are able to print invoices. Invoices will include a special notice if a child is due for a required immunization. Customers will be billed on the last day of every month with a discount applied to those accounts having multiple children enrolled in the Care Center. Daily reminders are a feature that all employees have access to. An employee can enter the date of an event as well as a message describing the event. On the day of the reminder a pop up message will be displayed when the employee logs onto the system. Acknowledgement of the reminder will permanently remove it from the database. Administrators are responsible for registering new customers.
2009 - warc III.pdf;The main goal of the WARC Tools project is to facilitate and promote the adoption of the WARC file format for storing web archives by the mainstream web development community by providing an open source software library, a set of command line tools, web server plug-ins and technical documentation for manipulation and management of web archive files or WARC files. This project has delivered a core software library called “libwarc” and a set of end user command line tools, extensions to existing tools, and simple web applications for accessing WARC content. In addition all the libraries have APIs and dynamic language bindings. The library and tools are scriptable (command lines in shell scripts, dynamic language bindings to the library), and programmable (dynamic language bindings, Java packages, and the C library itself). The last phase will build upon the original libwarc, extending the collection of WARC Tools and implement a full migration application. Phase III will include community participation in the speci!cation of the tools and applications, these will come from a number of International Internet Preservation Consortium (IIPC) member institutions, and similarly for testing. Phase III implementation will follow the original philosophy of providing powerful tools to enable crawl engineers, web archivists, researchers and other WARC users to easily manipulate and explore collections of web archive content without needing to write complex low-level code. 
2001 - esa.pdf;The ASPERA-3 instrument package (or ASPERA-3 experiment) will be flown on the Mars Express mission of the European Space Agency (ESA) and will be launched in June 2003 according to the current schedule. ASPERA-3 contains a number of different sensors that will measure the particles, neutral atoms, and fields in the near Martian environment. Southwest Research Institute is providing the data system to produce data products in a form suitable for analysis and archiving. These data products will be put into a form known as the Instrument Data File Set (IDFS). The ASPERA-3 Processing and Archiving Facility (APAF) is a ground data system responsible for processing all of the ASPERA-3 telemetry. The APAF data system acquires the telemetry data via NISN, processes the data into IDFS data sets, distributes the IDFS data sets to the ASPERA-3 team, provides web-based displays of the most current data for public view, stores the telemetry and IDFS data sets on a local SwRI archive, and submits the ASPERA-3 IDFS data sets to PDS for long-term archival. The first step in defining the IDFS data sets is to identify the physical instruments that make up the ASPERA-3 experiment and any ancillary data necessary for scientific analysis. There are six components of the ASPERA-3 package, plus the orbit and attitude data from the spacecraft: 1. Data Processing Unit (DPU) 2. Electron Spectrometer (ELS) 3. Ion Mass Analyzer (IMA) 4. Neutral Particle Detector (NPD) 5. Neutral Particle Imager (NPI) 6. Scanning Unit (SU) 7. Orbit/Attitude (OA) Each of the physical components will be divided into logical groups (called virtual instruments) in which each logical group will be formatted as an IDFS data set. Each of the seven components described above will have an associated Software Design Document (SDD) that will define and fully describe all of the data products contained within each individual virtual instrument.
2009 - model manager.pdf;"The Model Manager is a software tool that will allow the user to configure, schedule, run, monitor, and stop (and re-start /resume) model jobs. The primary goal of this project is to extend the current model back end system and to automate the setup, running and monitoring of model jobs. This will include a more automated node management system. The main functions of the system are:
1. Users of the system will be able to set up a new model or “postprocessing” job
2. Users of the system will be able to submit a 'by-hand' job or a job defined by a configuration file
3. Users of the system will be able to retrieve a previously saved job configuration
4. Users of the system will be able to change and save a job configuration
5. Users of the system will be able to start/restart/resume/stop a job
5. Users of the system will be able to monitor running jobs"
2004 - colorcast.pdf;"The product is a stand-alone web application with a theme mechanism to allow easy integration of the application into the ABC Paint website. The ColorKast solution is a server based application with a web-based client for consumer and enterprise access. In some respects, the application is the next generation of the old mechanical, hand-select, palette board system located in paint stores everywhere. Primarily, the application will include a old to new product-line “translator,” a graphical color chooser, a color search-engine, a user color palette, possibly, an easy to use color matching system, and an administrative interface. All of these will be defined and described later in this same document. The actual user interface will be described in a separate user interface specification whitepaper. All references to performance or specification apply to the application client. Specifications and performance estimates apply to the application server only if explicitly stated.
Functions are modularized sub-components of the client application. Each of the functions has a single purpose and can accomplish its mission without the other components. Together, the components function as a stand-alone application.
• Color Chooser (Pointing device driven color selection utility)
• Color number translator (old scheme -> new scheme)
• Find a particular number of colors near a given color
• Session persistent user color palette (colors picked, images uploaded)
• Color search engine (all collections, specific collection)
• Color matching (uploaded image)
• Administrative interface (update, add, delete colors, add users)"
2008 - caiso.pdf;Following the complete or major loss of system generation (blackout), it will be necessary to establish initial generation that can supply a source of electric power to other system generation and begin system restoration. These initiating generators are referred to as system Black Start generators. They must be able to self-start without any source of off-site electric power and maintain adequate voltage and frequency while energizing isolated transmission facilities and auxiliary loads of other generators. Generators that can safely reject load down to their auxiliary load are another form of Black Start generator that can aid system restoration, but are not addressed with this Black Start Capability Plan (BCP). From a planning perspective, a system Black Start Capability Plan (BCP) is necessary to ensure that the quantity and location of system Black Start generators are sufficient and that they can perform their expected functions as specified in overall coordinated WECC BCP. The CAISO may from time to time test Unit(s) designated to provide Black Start service (through an RMR or Interim Black Start Contract) by requiring the Unit to deliver Black Start service pursuant to a Test Dispatch Notice provided to Owner’s Scheduling Coordinator. The Black Start Test shall be performed in accordance with the Ancillary Services Requirements Protocol in the CAISO Tariff. The CAISO shall not request a Black Start Test for a hydroelectric Unit during periods of constrained water availability.
2004 - ijis.doc;The Integrated Justice Information System (IJIS) is an initiative being undertaken by Tarrant County, Texas. The vision for IJIS is to define and develop enhanced business processes and supporting technology solutions that result in a more effective and efficient administration of justice in Tarrant County. When complete, IJIS will facilitate rapid sharing of information across the Criminal Justice Community while providing each stakeholder with advanced justice management capabilities. The system must submit requests for appointed counsel, process requests for appointed counsel, manage notifications, manage reporting, manage notice of case filing decisions, manage defendant contact, manage attorney list and manage defense attorney compensation
2009 - video search.pdf;"The system will be a search engine for finding the location of torrents and streaming sites for videos on the internet. The user can specify which of the 2 or both to look for. The results will be divided into the types that were specified using different tabs, and then the results will be orderable by different categories, such as name, size, site, etc. The user will have the option to filter out videos containing certain content depending on age restrictions, for example adult content. In addition the user will have the option to filter out or only search certain websites; for example a user may only want to look at videos on YouTube. They will have the facility for users to store their favorite videos, so that they can come back to the video at another time. There will be two levels of user for our system. The first will be the general user that will be using our software to find their videos. They will only see the front end of the system. The second level will be the system developers. They will be able to edit which sites the system will search, depending on whether they think the site is safe, compatible with our software, the speed at which the site can be searched, and how useful the site is to us, i.e. how many results have come back from that site. "
2006 - stewards.pdf;"This product is a new, centralized data system. Source data for this system are the long-term  Agricultural Research Service (ARS) watersheds, with those participating in the Conservation Effects Assessment Project (CEAP) project expected to participate in this data system first. The data system consists two main parts -- a central database management system for the uploading, storage, and management of data, and a client application to allow users access and interact with the data. Diverse end-users can access, search, analyze, visualize, download, and report various types of integrated watershed data contributed from the multiple locations. Types of data will include biophysical data (i.e., point-based in time and/or space, spatially variable data, time series), data about land use, management, and conservation practices; and economic data."
2002 - evla back.pdf;"The Correlator Backend System lies between the Correlator and the End-to-End Systems. It is the primary component of the real-time astronomical data processing capability (the processing pipeline) of the EVLA. Its primary responsibility is to perform basic data assembly, formatting and processing services and to support the desire for real-time inspection of the astronomical data stream. The major functions the Correlator Backend System must perform are as follows:  Receive data from the Correlator in real-time.  Assemble time-series from the Correlator lag output.  Perform Fourier Transforms of the assembled time series.  Perform a limited number of additional processes upon user request.  Deliver suitably formatted results to the End-to-End System.Correlator lag data will be received directly from the Correlator Baseline Boards in the form of Lag Frames. The lag frames contain correlation lag values and all auxiliary parameters needed to assemble the lags into complete lag sets (properly ordered time series). It is currently assumed that all observational modes yielding correlator results that are transmitted to the Backend will be in the form of lag frames.
Additional auxiliary data and meta-data needed for processing prior to output to the e2e System will arrive via the Monitor and Control System, whether produced by the Correlator or some other part of the EVLA System. The BE will receive and act upon status requests and control commands originating in or via the
M&C System.
The Correlator lag frames will be assembled into time series, normalized, and when necessary time stamp adjusted. The time series will also be Fourier Transformed and other user selectable time and/or frequency domain processes will be applied. Prior to output, the end results will be formatted to meet the internal needs of the e2e.
Formatted spectra will be transferred to the End-to-End System. All pertinent meta-data will be contained in the formatted output. The fundamental unit of output is the minimum sub-band crosspower spectrum produced by the Correlator. (No “stitching” operations that combine spectra from different sub-bands will be performed.) The BE will produce a variety of error, warning, status and other reports and messages that will be transferred to the M&C for final disposition. EVLA Operations System SRS 5. The Correlator Backend System will conduct a number of self-monitoring activities on application and system software as well as hardware systems to detect system failure and out of spec conditions. The ability to attempt recovery from failure and out of spec performance conditions will be built
into the system. The system will provide control and auxiliary parameters to input, output, processing, monitor, recovery, and other functions and receive status and performance data from them. It will also communicate with the external Monitor and Control System. "
2002 - evla corr.pdf;"The Correlator Monitor & Control System (CMCS) provides the physical link between the WIDAR Correlator hardware and the EVLA monitor & control system. It is the primary interface by which the correlator is configured, operated, and serviced. The primary functions of the Correlator Monitor & Control System are as follows: · Receive configuration information from the EVLA M&C system and translate this info into a physical correlator hardware configuration. · Process and transfer dynamic control data (models, filter parameters, etc), and monitor data (auto correlation products, state counts, etc.) · Monitor Correlator and correlator subsystem health and take corrective action autonomously (where possible) to recover from hardware and computing system faults. · Perform limited amounts of real-time data processing and probing such as providing tools to collect and display auto correlation products. · Allow for easy system access to aid testing and debugging. The EVLA Correlator Monitor and Control System is responsible for correlator configuration, real time monitor/control, and hardware testing/servicing. The CMCS exists as an integrated part of the overall EVLA Monitor and Control Structure. The CMCS will provide a level of abstraction to modularize the correlator system within the EVLA environment. The “gateway” to the correlator will be through the Virtual Correlator Interface (VCI) which will exist as a software entity on the MCCC.
The CMCS will be designed and implemented as a Master/Slave network with one computer system coordinating the activities of a number of “intelligent” hardware control processors. The Master is expected to handle the bulk of the monitor/control interface with the outside world whereas the slaves will be only concerned with the correlator hardware systems under their direct control. This topology will place the real-time computing requirements in the slave layer and the quasi real-time, network-chaotic loads into the master layer. One of the primary benefits of this structure is isolation (ease of serviceability, programmability) of the correlator hardware from the EVLA M&C environment. The system is expected to be redundant in critical areas and highly modular."
2009 - email.pdf;Statewide e-mail system.--A state e-mail system that includes the service delivery and support for a statewide e-mail, messaging, and calendaring service is established as an enterprise information technology service as defined in s. 282.0041. The service shall be designed to meet the needs of all executive branch agencies and reduce the current cost of operation and support.
2009 - gaia.pdf;"GOG is a tool to directly get Catalogue, Main Database (MDB) data and final (in the sense of statistically equivalent to the final mission data) data without the use GASS telemetry, GIBIS or the main ESAC database The Gaia Object Generator (GOG) is expected to simulate catalog data, auxiliary data and intermediate main database data (including mission final data) for all the Gaia instruments. It will use error models to provide rapid simulations of large amount of data.  This ’Software Product’ is composed of several ’Modules’:
- The initialisation modules is in charge of loading and storing the read configuration in a proper way. The module has to offer a common interface to get values from the configuration in an easy manner.
- The epoch parameters module is in charge of all the epoch parameters settings and calculations of the GOG simulation.
- The combined parameters module is in charge of all the combined parameters settings and calculations of the GOG simulation
- The spectrum module is in charge of all the spectrum settings and calculations of the GOG simulation. 
- The output module comunicates GOG flow execution with the filesystem. When the flow request a file it obtains it from the system and also it writes the files requested as GOG outputs"
2007 - mdot.pdf;"A strategy is laid out in the Michigan Department of Transportation VehicleInfrastructure Integration Strategic and Business Plan that focuses on partnering, developing, and deploying a VII (Vehicle Infrastructure Integration) infrastructure and test beds; increasing safety and mobility; improving asset management; developing outreach programs to better expose others to VII in Michigan; justifying the need for VII; and determining creative investment funding venues for VII activities. DUAP (Data Use Analysis and Processing) is a research program to determine how new VII data impacts safety, traffic operations and management, asset management, winter operations, and transportation planning. The program is focused on demonstration and assessment of data transformation and management, and DUAP system development is a means to that end. From a systems engineering functional viewpoint, the DUAP system has four high-level capabilities:
• Collecting data
• Consolidating the collected information
• Converting data into information needed by transportation agencies
• Communicating the unified information to various agencies and the public 
The input services of the DUAP system will: receive probe data from individual vehicles; receive traffic information from Advanced Traffic Management Systems (ATMS) throughout the state; receive weather information from several sources; and receive traveler information from Advanced Traveler Information Systems (ATIS) throughout the state, as well as other governmental and commercial sources. 
The dynamic data services are a caching service intended to store DUAP data for fast access over a relatively short duration. 
Persistent data services provide longer-term storage within DUAP of both data collected by input services and metadata needed by DUAP services to sustain their operations.
The purpose of the DUAP system’s computational services is to apply logical algorithms to incoming vehicle and traffic observations in order to transform those observations into data that is directly applicable to transportation management and operations processes.
Output services subscribe to analyzed data and format it for use by other services both within the DUAP system and external to it. 
Presentation Services support human interpretation of DUAP data. 
Administrative services will exist within the DUAP system to configure other services. Essentially, administrative services fulfill the role of “meta-services.” These services will be used to organize the sequence of execution for any of the other services, view logging information, and to change the operating modes of the system. "
2008 - keepass.pdf;KeePass is a password manager. KeePass consists of a database which contains data for one or more users. Each user’s data are divided into groups and subgroups so that they are organized in a form that serves right the user. Every user has a unique Master Key which can be simple or composite and its combination opens uniquely the database. If lost there is no recovery. Groups and subgroups contain entries with usernames, passwords URLs etc that can be sent or copied to websites, application and accounts. There is also the ability for a onetime key creation to be used once in a transaction without the risk of reused by others for any reason.
2001 - libra.doc;"Libra forms part of a larger system comprising the Sun Grid Engine cluster management system that runs on a Linux-based cluster. SGE is responsible for receiving the jobs submitted by the user and delegating them to Libra for scheduling and placing on appropriate workstations or execution hosts. Libra communicates its decision regarding workstation allocation to the resource manager, which then dispatches the job to the chosen workstation. Once assignment to a workstation has occurred, Libra is responsible for implementing the scheduling policy on the jobs executing at the workstations. the Libra scheduler will be QoS driven: it will aim to optimize resource utilization within user-imposed constraints: thus, user satisfaction is the primary concern, as opposed to maximizing CPU utilization. Thus, the two job parameters most relevant to the scheduling decisions will be:
• Budget allocated by the user to the process
• Deadline
"
2001 - space fractions.pdf;The Space Fractions project is a learning tool created to help improve fraction-solving skills for sixth-grade students. The product will be a web-based, interactive game. At the end of the game, students will be given feedback based on their game scores. We are also providing an umbrella for the past games created. The umbrella will be a web-based menu system allowing the user to choose between the games.
0000 - inventory.pdf;"IUFA purpose is to integrate 3 faculties data bases providing Web interface that allows user to access and manage the integrated inventory. The IUFA guarantee a secure access to the data from outside university at any time during working hours .Assets in the inventory are classified in 3 types: Rooms and space; Software licences and All other assets
 The IUFA application give the unauthorised user the possibility to use a web based interface that will available to use any time IUfA involve to the following operations: - Transferring assets - Editing assets - Modifying assets - Adding inventory assets  - Creating request to borrow an asset or a reserve a space - Retuning assets - Creating a new space - Approving requests - Authentication - Search - Changing permission - Output reports. "
2007 - puget sound.pdf;"The University of Puget Sound is currently seeking a new courseware system and is investigating Moodle as an option. Moodle is courseware system that managers courses, assignments, wiki pages, forums, etc. Our goal is to refine parts of Moodle to provide functionality that improves the overall learning experience of students at the University and helps professors to make students aware of new ways of presenting material.
Students are the primary consumers of a courseware system. They are accessing information posted by professors, uploading assignments and project files, and discussing concepts.
Professors are the primary content administrators of a courseware system. They are uploading files, links, and multimedia, and grading assignments in addition to creating new places for students to discuss and collaborate.
System Administrators are primarily responsible for maintaining the courseware system. They contribute minimally to the courses themselves, but spend more time modifying the system’s configuration and making appropriate updates
"
2005 - grid 3D.pdf;"The need for a method of visualisation of biological data has been identified. Currently, there are many groups offering many different tools for visualising data. These visualisation tools provide a range from tabular to three-dimensional graphical views. However, a need has been identified for a tool that can display data in a three dimensional environment, which allows the user to investigate the data and easily see various attributes of the data at a glance. The main actors in the systems are the identifier, the investigator and the demonstrator. 
The initiation phase of this Grid 3D application consist of these actors getting biological data. The identifier supplies data to the application, and the application returns point of view / info. The investigator also supplies data to the application, and the application returns information. The app supplies data to the demonstrator and the demonstrator returns 3D view.
When 3D grid application is running: the demonstrator, investigator and identifier command the app to rotate the grid, zoom the grid, move the grid, select point(s) or retrieve point info. The application must return desired Graphical Representation."
0000 - gamma j.pdf;"GAMMA-J’s Web Store is designed to allow new online store owners a quick and easy means to setup and perform sales and other core business over the internet. This Web Store will:
• Manage customer accounts
• Manage an online store inventory
• Manage a customer’s “Shopping Cart”
• Confirm Orders
• Have an unambiguous interface to assist in browsing the categories and products
• Use Secure Socket Layer (SSL) for security
• Have an availability of 99.999%
• Allow an optional mirror site for reliability and backups
• Feature interface for future software enhancement via “Plug-ins”
The initial inventory will be 100 items. Expandable with unique codes, the owners can purchase to expand the inventory. The minimum total inventory will be 20,000 items. Since this will be a “Plug and Play device”, no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via “plug-ins.” "
2005 - pontis.pdf;"Pontis is a software application developed to assist in managing highway bridges and other structures. The system is designed to support the bridge inspection process, recommend a bridge preservation policy, predict future bridge conditions, and recommend projects to perform on one or more bridges to derive the most agency and user benefit from a specified budget. Pontis 5.0 will provide licensing agencies with an up-to-date tool for bridge management, including data management, condition assessment, model development, needs analysis, reporting, and interaction with other agency systems. Pontis 5.0 will be the next generation of the Pontis product, currently deployed in more than 45 agencies in the U.S. and abroad. This product is intended to replace the existing Pontis 4.x product line with a next-generation software application, utilizing state-of-the-art software development technology.The baseline capabilities will be extended to provide licensees the ability to access selected modules from a web browser as well as a dedicated client application, depending on the particular BMS (Bridge Management System) activity. A web version of Pontis will offer easier application setup, administration, and implementation, and will provide a straightforward migration path for existing Pontis 4.x users. Pontis 5.0 will support a range of new functionality, including: import and export of data in eXstensible Markup Language (XML) based on the TransXML schema being developed through National Cooperative Highway Research Program (NCHRP) Project 20-64, XML Schemas for Exchange of Transportation Data (TransXML); improved approaches to modeling bridge needs through incorporation of research results from NCHRP 12-67, Multiple-Objective Optimization for Bridge Management Systems; improved user interfaces for bridge-level analysis and project planning; and support for multiple asset types. Further, Pontis 5.0 will provide seamless support to its licensees for potential changes in the National Bridge Inventory (NBI) coding standards.
The development of Pontis 5.0 is driven in part by new functional requirements as well as by dramatic technology changes in the software development arena that have overtaken the existing client/server application, particularly in the web
application development domain.
The goals for Pontis 5.0 are to provide the AASHTO (American Association of State Highway and Transportation Officials) member agencies and licensees with:
A readily-accessible, robust repository for bridge information, including data inventory, condition, needs, project plans, and accomplishments;
Technically correct capabilities to perform bridge management tasks of all types;
A technologically up-to-date development foundation;
Streamlined, simpler application and deployment mechanisms;
A flexible, customizable application which users can extend to solve agencyspecific bridge management tasks; and
Preservation of significant agency investments in BMS generally and Pontis specifically, including expenditures of time, money, training and other agency resources."
2008 - virtual ed.doc;"Virtual-EDU consists of an online website that allows users to create a classroom like environment with the features that it contains. Once registered to the system, a user can create a profile sharing his or her information with the rest of the enrolled users. Users will be able to find commonalities with each other through the user profile. Virtual-EDU also gives users the ability to store data and/or important materials in a secure network location for future retrieval or present usage. This particular data as well as other files may be shared or worked on using Virtual-EDU extensive tools for file sharing and document collaboration. Users can work together on a single document in real time or send their work to other users via secure file sharing methods and protocols. If further communication is need between users, Virtual-EDU has features such as instant messaging, where users can hold single or group conversations via a secure real-time communication based on typed text. However, if more efficient means of communication are need, users have the ability to hold single or group video/audio conferences, whereby the users will be able to see other users streamed live in real-time.
Virtual-EDU features: instant messaging, video and audio streaming, file sharing, document collaboration, hosting space and user profiles."
1998 - themas.pdf;"The THEMAS system is a system that operates independent of any other system, or any components of the heating and cooling system to which it is attached. The THEMAS system, however, is composed mainly of a hardware and software portion. The THEMAS system is divided into four major sections: Monitor Temperature, Determine Utilization, Initialize System, and System Reports. All four sections have an associated software configuration item; all except the System Reports have an
associated hardware configuration item.
The monitor temperature function receives the valid temperature and system parameters. The function then goes through the process of determining temperature status. After this process is done, either temperature limit is exceeded or the temperature change is requested. If the temperature change is requested, then the determine heating/cooling mode process is activated and makes a heating/cooling request. Some other processes that help the monitor temperature function are: validate temperature, change thermostat setting, generate alarm, and system initialization.
The determine utilization function receives the heating/cooling request and utilization parameters. The function then processes the status of all heating/cooling units and sends out either unit unavailable or heating/cooling unit needed. The function generates either a unit unavailable event which goes into the System Reports function or it generates a heating/cooling signal to turn on/off the units. The Monitor Temperature and Initialize System functions help the determine utilization to do its processes.
The initialize system function receives the initialization data for the THEMAS system. The processes that are associated with it are: load heating/cooling unit definitions, turn off all heating/cooling units, load th ermostat definitions, load utilization parameters, set trigger values, set overtemperature values, and establish valid temperature range. The outgoing information that starts the entire THEMAS system is: clear all heating/cooling signals, send thermostat definitions, send utilization parameters, send trigger values, send overtemperature values, and send valid temperature range.
The system reports function receives event data from the THEMAS system. This function is a database that stores all the events in the THEMAS system. This function is mainly for the use of the supervisor of the THEMAS system to maintain an efficient heating and cooling system. The only process that interacts with the system reports function is the generate event data process."
2009 - library.pdf;"This is  the System Administration Module of an Integrated Library System (ILS). The System Administration Module facilitates the management of every aspect of the Integrated Library System. Specifically, the System Administration Module support the following activities, among others:
• Configuring the ILS to enable and support features and processes required for management of the Library branches, patrons, collections, and circulation transactions.
• Monitoring, troubleshooting, and controlling server performance.
• Monitoring, troubleshooting, and controlling database and application performance.
• Monitoring, troubleshooting, and controlling services, ports, and application programming interfaces.
• Managing user and group accounts and privileges.
• Managing server and client software installation, upgrades, and updates.
• Backing up databases, configuration files, log files, etc. "
2001 - ctc network.pdf;"This system is for the Dallas/Ft. Worth (DFW) Regional “Center-toCenter (C2C) Communications Network” that is based on a Texas Department of Transportation
(TxDOT) C2C project. The TxDOT C2c project initially connected the DFW TxDOT Traffic Management Centers (TMCs). This C2C infrastructure implements a repository for traffic data and provides a mechanism to exchange device control information between TMCs. The C2C infrastructure must interconnect several dissimilar traffic management systems. In order to create the C2C infrastructure, interfaces to the existing systems will be created. The data from these interfaces will communicate with the existing system in a “system specific” format. The data being deposited into the C2C infrastructure will be converted to a standard format (based on the ITS standards). The C2C infrastructure is being created using a series of building blocks. These building blocks allow the software to be utilized in a number of configurations (by simply altering the configuration parameters of the software). The C2C project has the following goals:
· To provide a common repository for traffic information for the DFW Metroplex.
· To provide a World Wide Web based graphical map to display traffic conditions in the DFW Metroplex.
· To provide a Microsoft Windows application that will allow agencies without a formal Traffic Management Center (TMC) to participate in the C2C infrastructure and
information sharing.
· To provide a system which supports ITS center-to-center communications for command/control/status of various ITS field devices including: Dynamic Message
Signs, Lane Control Signals and Closed Circuit Television Cameras (CCTVs), Ramp Meters, and Highway Advisory Radios (HARs).
· To utilize National ITS standards to implement the project.
· To provide a software system that is extensible all local or regional partners. This would allow a “local” common repository to be created by “linking” individual
partners, a “regional” common repository to be created by “linking” local common repositories and a “statewide” common repository to be created by “linking” regional common repositories."
